Date,Open,High,Low,Close,Volume,MA200W,rising,from_above,evt_5pct,evt_4pct,evt_3pct,evt_2pct,evt_1pct,evt_touch,setup_start
1993-11-05,1.5347796993696048,1.558685960039093,1.4534983286058545,1.5060923099517822,248992000,1.1492518505454064,True,True,False,False,False,False,False,False,False
1993-11-12,1.510873434649911,1.577811509113307,1.486967501242147,1.5658572912216187,187814400,1.1552509842813015,True,True,False,False,False,False,False,False,False
1993-11-19,1.568247655904071,1.5873736786269095,1.520435722023591,1.532388687133789,235968000,1.160912773013115,True,True,False,False,False,False,False,False,False
1993-11-26,1.525216837201378,1.5252172879597539,1.4630603852210107,1.5108734369277954,217481600,1.1665387053787708,True,True,False,False,False,False,False,False,False
1993-12-03,1.510873439177027,1.654310284478718,1.4965299980190365,1.6399668455123901,301584000,1.1727463527023791,True,True,False,False,False,False,False,False,False
1993-12-10,1.6256228405669275,1.6447484479313008,1.5395602335464862,1.5658572912216187,279401600,1.1785675165057183,True,True,False,False,False,False,False,False,False
1993-12-17,1.5586851551333516,1.5682476407476666,1.5156549782898991,1.5395601987838745,157971200,1.1841828182339669,True,True,False,False,False,False,False,False,False
1993-12-24,1.5491239995491213,1.5778104066848755,1.539561505724744,1.5467326641082764,122460800,1.1898446097970008,True,True,False,False,False,False,False,False,False
1993-12-31,1.5443417334611453,1.5969364701604551,1.525216762047681,1.5419511795043945,149625600,1.1953496819734573,True,True,False,False,False,False,False,False,False
1994-01-07,1.5395606996591078,1.6399672000303316,1.5156542763409488,1.6304047107696533,288761600,1.2012385836243629,True,True,False,False,False,False,False,False,False
1994-01-14,1.6256228228981624,1.654310284478718,1.6017175303618147,1.6375759840011597,235004800,1.207003964483738,True,True,False,False,False,False,False,False,False
1994-01-21,1.6304045877287896,1.6638730173860825,1.5778110700902037,1.6495295763015747,395088000,1.2129088021814822,True,True,False,False,False,False,False,False,False
1994-01-28,1.6447481528366577,1.663873131358014,1.5921549831695976,1.623232364654541,252230400,1.2186715295910835,True,True,False,False,False,False,False,False,False
1994-02-04,1.6304044320637194,1.6423573956842874,1.5539051294326782,1.5539051294326782,257504000,1.2240132457017898,True,True,False,False,False,False,False,False,False
1994-02-11,1.5252177721915199,1.5539052483112834,1.4917481353135171,1.5060923099517822,487680000,1.2289777716994286,True,True,False,False,False,False,False,False,False
1994-02-18,1.5108725119855027,1.544342448696193,1.4917487180432651,1.5299984216690063,292361600,1.2341096398234368,True,True,False,False,False,False,False,False,False
1994-02-25,1.5299984194197744,1.5682485074172785,1.4965301174996977,1.5491235256195068,338246400,1.2394646355509757,True,True,False,False,False,False,False,False,False
1994-03-04,1.5539044802257251,1.5921550989151,1.539561034720621,1.5491235256195068,229334400,1.2445858812332153,True,True,False,False,False,False,False,False,False
1994-03-11,1.5539051294326782,1.5730301120493995,1.5252175901963552,1.5634675025939941,173734400,1.2496194738149642,True,True,False,False,False,False,False,False,False
1994-03-18,1.577810511354721,1.6304046396754321,1.5730295592048917,1.6208420991897583,241273600,1.2548230615258218,True,True,False,False,False,False,False,False,False
1994-03-25,1.6256235267596038,1.7069043288227115,1.5730296564946031,1.6734353303909302,432761600,1.2600346168875693,True,True,False,False,False,False,False,False,False
1994-04-01,1.673435292471875,1.6829977798574285,1.5778104066848755,1.6208420991897583,355900800,1.264946018755436,True,True,False,False,False,False,False,False,False
1994-04-08,1.577810659211063,1.7236379728947915,1.5682481703673596,1.6638725996017456,451996800,1.2701416364312172,True,True,False,False,False,False,False,False,False
1994-04-15,1.6638725996017456,1.6686541345279693,1.5873728913771177,1.623232364654541,283344000,1.2750277990102767,True,True,False,False,False,False,False,False,False
1994-04-22,1.6208416531368919,1.773841126480939,1.5730292235996357,1.754716157913208,682054400,1.280582010447979,True,True,False,False,False,False,False,False,False
1994-04-29,1.7594974909265153,1.8216548695269057,1.7451546790661145,1.7690606117248535,454124800,1.2861973142623901,True,True,False,False,False,False,False,False,False
1994-05-06,1.7738420476885204,1.8407791948885073,1.7379826658092694,1.7690606117248535,342857600,1.291929496228695,True,True,False,False,False,False,False,False,False
1994-05-13,1.754716995898299,1.8646855304895904,1.752325935949663,1.8455605506896973,409257600,1.2978263640403747,True,True,False,False,False,False,False,False,False
1994-05-20,1.8407794692764006,1.898154125894128,1.788186099688519,1.8694666624069214,443843200,1.3040605762600899,True,True,False,False,False,False,False,False,False
1994-05-27,1.8742479528890041,2.017685890197754,1.8551229737778918,2.00334095954895,357934400,1.3111447858810426,True,True,False,False,False,False,False,False,False
1994-06-03,1.998560905456543,2.0565338072774466,1.9842174587247428,2.0224668979644775,323897600,1.3185689994692802,True,True,False,False,False,False,False,False,False
1994-06-10,2.0129035545397285,2.0894034410087383,1.9746544929556384,2.0105137825012207,1267593600,1.3258803218603135,True,True,False,False,False,False,False,False,False
1994-06-17,2.0129044081009293,2.089404874801403,1.9842169385102848,2.0272486209869385,270840000,1.33345594227314,True,True,False,False,False,False,False,False,False
1994-06-24,2.008122929902834,2.046372890472412,1.883810878402055,1.8933733701705933,383022400,1.340489685833454,True,True,False,False,False,False,False,False,False
1994-07-01,1.9029359305326634,2.0176857950996867,1.8885924841869195,1.9220612049102783,336464000,1.347486244738102,True,True,False,False,False,False,False,False,False
1994-07-08,1.9268420830088488,1.9507480168818867,1.8264353622494056,1.8933733701705933,268297600,1.354498741030693,True,True,False,False,False,False,False,False,False
1994-07-15,1.8981548503141445,1.8981548503141445,1.7929673784819518,1.859904408454895,379081600,1.3612588906288148,True,True,False,False,False,False,False,False,False
1994-07-22,1.9698731852049873,1.979435676395303,1.807310526000111,1.9340133666992188,571888000,1.3683577105402946,True,True,False,False,False,False,False,False,False
1994-07-29,1.9364035556707098,1.9746542493622365,1.883810878402055,1.9698727130889893,242076800,1.3755295771360396,True,True,False,False,False,False,False,False,False
1994-08-05,1.974653761691721,2.089403792715901,1.969872226599346,2.0081233978271484,309352000,1.3828183218836785,True,True,False,False,False,False,False,False,False
1994-08-12,2.003342679073027,2.141998049360595,1.9889986470060528,2.1133105754852295,242899200,1.3909623757004739,True,True,False,False,False,False,False,False,False
1994-08-19,2.122872671370555,2.1563411105083246,2.0654978302630616,2.0989668369293213,308721600,1.3988222128152847,True,True,False,False,False,False,False,False,False
1994-08-26,2.10374850781634,2.2089344729500944,2.084622166178248,2.1754660606384277,272580800,1.4070061096549034,True,True,False,False,False,False,False,False,False
1994-09-02,2.1945917184162824,2.266309908295018,2.1324347982941285,2.1419975757598877,319977600,1.4149535992741584,True,True,False,False,False,False,False,False,False
1994-09-09,2.1372166229951484,2.218498083911022,2.1300446102000183,2.1754660606384277,161571200,1.4230790573358536,True,True,False,False,False,False,False,False,False
1994-09-16,2.1850287734840985,2.228060245513916,2.1372163340604633,2.1754660606384277,200902400,1.431066392660141,True,True,False,False,False,False,False,False,False
1994-09-23,2.1850285475343156,2.1993725108248845,2.1037476343879535,2.1419975757598877,264267200,1.4388545083999633,True,True,False,False,False,False,False,False,False
1994-09-30,2.1419979574847883,2.199372213487218,2.098966672487689,2.1467788219451904,175576000,1.446517781317234,True,True,False,False,False,False,False,False,False
1994-10-07,2.1467788174392406,2.1563413053038967,2.0607163998702442,2.079841375350952,214750400,1.4537613669037819,True,True,False,False,False,False,False,False,False
1994-10-14,2.0798423824307974,2.2089350161073513,2.0798423824307974,2.139606237411499,285996800,1.4613303422927857,True,True,False,False,False,False,False,False,False
1994-10-21,2.1419979945594294,2.2902159638634787,2.1037480303708684,2.271092414855957,346992000,1.4694664350152016,True,True,False,False,False,False,False,False,False
1994-10-28,2.275872889282111,2.385840409023663,2.232840718601664,2.3762779235839844,299483200,1.4781603264808654,True,True,False,False,False,False,False,False,False
1994-11-04,2.381059657959711,2.4527786141800805,2.345200157212224,2.352372169494629,271353600,1.4866975048184394,True,True,False,False,False,False,False,False,False
1994-11-11,2.352373307060682,2.471903361170524,2.323684017342257,2.381058931350708,308217600,1.4952878043055535,True,True,False,False,False,False,False,False,False
1994-11-18,2.4001851211222567,2.491028886750105,2.4001851211222567,2.4527781009674072,190601600,1.5039285731315613,True,True,False,False,False,False,False,False,False
1994-11-25,2.467121820750199,2.4766843084275254,2.335637668718343,2.381058931350708,191988800,1.5120301195979118,True,True,False,False,False,False,False,False,False
1994-12-02,2.3906223346028725,2.4623405875527618,2.3714964719629097,2.41930890083313,202868800,1.5198872935771943,True,True,False,False,False,False,False,False,False
1994-12-09,2.424091537866771,2.4575599614713295,2.381059842274298,2.4145288467407227,235632000,1.527539945244789,True,True,False,False,False,False,False,False,False
1994-12-16,2.4145288467407227,2.457559759971753,2.357153910782306,2.424091339111328,212049600,1.5352722799777985,True,True,False,False,False,False,False,False,False
1994-12-23,2.424090606084132,2.4336530925309177,2.247184718934734,2.3284668922424316,431200000,1.5425689932703972,True,True,False,False,False,False,False,False,False
1994-12-30,2.3332471808288324,2.3667173408321105,2.29499629286469,2.3380298614501953,99660800,1.5497647720575332,True,True,False,False,False,False,False,False,False
1995-01-06,2.3523724868395726,2.3523724868395726,2.2710909895666975,2.318903923034668,177662400,1.557003045976162,True,True,False,False,False,False,False,False,False
1995-01-13,2.3284674249583706,2.4097466411818544,2.285435913014709,2.400184154510498,188000000,1.5648974087834358,True,True,False,False,False,False,False,False,False
1995-01-20,2.4193091060947345,2.49580864944193,2.342809392879167,2.3571534156799316,348582400,1.5726988053321838,True,True,False,False,False,False,False,False,False
1995-01-27,2.3332464278185747,2.4145284082941885,2.2854346715974527,2.2902162075042725,282254400,1.5796395817399025,True,True,False,False,False,False,False,False,False
1995-02-03,2.299778249166362,2.3236853462125238,2.228060903858591,2.299779176712036,288460800,1.586463483273983,True,True,False,False,False,False,False,False,False
1995-02-10,2.2997794187259837,2.395403908194713,2.2997794187259837,2.371497392654419,222908800,1.5937628507614137,True,True,False,False,False,False,False,False,False
1995-02-17,2.371497392654419,2.400184861113948,2.2806537861997116,2.3093416690826416,310851200,1.6007514396309852,True,True,False,False,False,False,False,False,False
1995-02-24,2.314121946630119,2.3762783903156803,2.2758719970990424,2.3428092002868652,210411200,1.6081836134195329,True,True,False,False,False,False,False,False,False
1995-03-03,2.347591457895583,2.4479963581552617,2.33802896842075,2.4336538314819336,190982400,1.6160487619042396,True,True,False,False,False,False,False,False,False
1995-03-10,2.4193082774892236,2.6296848648383357,2.404964844347704,2.6225123405456543,379566400,1.624794454574585,True,True,False,False,False,False,False,False,False
1995-03-17,2.6249042104324567,2.7539966064878456,2.61056018134822,2.6751060485839844,277867200,1.6339518648386002,True,True,False,False,False,False,False,False,False
1995-03-24,2.682277938725444,2.8352785084461414,2.6727161522600573,2.825716018676758,335979200,1.6434054505825042,True,True,False,False,False,False,False,False,False
1995-03-31,2.7826833790295744,2.8304967294900396,2.6918404462374586,2.7205278873443604,312465600,1.6523437184095382,True,True,False,False,False,False,False,False,False
1995-04-07,2.7157466241291592,2.73487203145614,2.629684885751112,2.6631534099578857,276662400,1.6609738650918007,True,True,False,False,False,False,False,False,False
1995-04-14,2.658372125943531,2.801809722314834,2.6535911729367228,2.7731213569641113,160038400,1.670015726685524,True,True,False,False,False,False,False,False,False
1995-04-21,2.887871945888346,2.988278381526377,2.8304968038666685,2.868746757507324,460155200,1.6800138393044473,True,True,False,False,False,False,False,False,False
1995-04-28,2.883090354747338,3.141278077518946,2.8735278669764477,3.126934051513672,402715200,1.6913055455684662,True,True,False,False,False,False,False,False,False
1995-05-05,3.1317160145688447,3.203434403418331,3.0408716742908677,3.0599968433380127,315448000,1.7026689732074738,True,True,False,False,False,False,False,False,False
1995-05-12,3.055215835571289,3.146059747081792,3.016965922878818,3.0886847972869873,194291200,1.713777401149273,True,True,False,False,False,False,False,False,False
1995-05-19,3.0839036614927924,3.3229642230101724,3.055216188286572,3.265590190887451,291972800,1.7257862961292267,True,True,False,False,False,False,False,False,False
1995-05-26,3.2655909697958925,3.423370561599732,3.212996977448122,3.3468706607818604,311958400,1.7379944026470184,True,True,False,False,False,False,False,False,False
1995-06-02,3.365995039422828,3.3803390601079153,3.0982465648471225,3.1795287132263184,336080000,1.7492223608493804,True,True,False,False,False,False,False,False,False
1995-06-09,3.16040239322534,3.290095021113426,3.1269333953351044,3.246464729309082,280014400,1.7603068774938584,True,True,False,False,False,False,False,False,False
1995-06-16,3.236901309269106,3.3468701716127067,3.1651831442297738,3.327745199203491,262809600,1.7717340487241744,True,True,False,False,False,False,False,False,False
1995-06-23,3.3373098892230932,3.533339762613565,3.32296644226831,3.4855282306671143,285529600,1.7837270069122315,True,True,False,False,False,False,False,False,False
1995-06-30,3.4807450472478414,3.4855265822685357,3.246465248666809,3.4568400382995605,325324800,1.7955765241384507,True,True,False,False,False,False,False,False,False
1995-07-07,3.4759655004062195,3.6576516628265385,3.4568391929761177,3.657651662826538,179080000,1.8087169754505157,True,True,False,False,False,False,False,False,False
1995-07-14,3.671995861029673,3.963651418685913,3.662433371808241,3.963651418685913,459601600,1.8232439905405045,True,True,False,False,False,False,False,False,False
1995-07-21,4.121431383517904,4.178806298369661,3.3851214060707697,3.518995761871338,1097652800,1.8353245997428893,True,True,False,False,False,False,False,False,False
1995-07-28,3.5429003600895905,3.7532780598945688,3.5189969025278516,3.542903423309326,493089600,1.8474131840467454,True,True,False,False,False,False,False,False,False
1995-08-04,3.562027227870314,3.5907151699066158,3.3468718205626,3.590715169906616,588625600,1.8597487962245942,True,True,False,False,False,False,False,False,False
1995-08-11,3.6146186931294384,3.7532775775530802,3.5094313766627088,3.6911211013793945,421649600,1.8724908137321472,True,True,False,False,False,False,False,False,False
1995-08-18,3.7054649159754147,3.8536826747835464,3.6624334220644794,3.7150280475616455,342324800,1.885328460931778,True,True,False,False,False,False,False,False,False
1995-08-25,3.7293710405864413,3.8441226125843255,3.60983943939209,3.60983943939209,484764800,1.8976720416545867,True,True,False,False,False,False,False,False,False
1995-09-01,3.6098407180206173,3.6098407180206173,3.327746617095605,3.4329326152801514,475078400,1.9089318662881851,True,True,False,False,False,False,False,False,False
1995-09-08,3.4759651282081325,3.695904025444428,3.452058613300323,3.6528708934783936,350668800,1.9211240410804749,True,True,False,False,False,False,False,False,False
1995-09-15,3.6480903802644513,3.7437152842864805,3.5381218882279404,3.573981523513794,352318400,1.932937705516815,True,True,False,False,False,False,False,False,False
1995-09-22,3.566808204288068,3.6194028730558916,3.404245156099537,3.4329326152801514,363227200,1.943982377052307,True,True,False,False,False,False,False,False,False
1995-09-29,3.4616212754600646,3.547683203417952,3.189088979933567,3.461620807647705,475852800,1.955090800523758,True,True,False,False,False,False,False,False,False
1995-10-06,3.4616212601702205,3.475965286497714,3.2512457847595218,3.284715175628662,399846400,1.9648684465885162,True,True,False,False,False,False,False,False,False
1995-10-13,3.2464661536768915,3.3946835649186284,3.074339072056199,3.299058675765991,520614400,1.9748612481355667,True,True,False,False,False,False,False,False,False
1995-10-20,3.2799339404367234,3.772401509759953,3.2703714508144586,3.6528708934783936,654361600,1.9865434205532073,True,True,False,False,False,False,False,False,False
1995-10-27,3.633746578152503,3.8303739401698116,3.614621596162227,3.8249950408935547,435891200,1.9986319983005523,True,True,False,False,False,False,False,False,False
1995-11-03,3.7963076287522513,3.9540889681188176,3.7580576276779176,3.8058712482452393,394380800,2.010457609295845,True,True,False,False,False,False,False,False,False
1995-11-10,3.7102462740939006,3.78734468790081,3.5524640646207475,3.705465078353882,435564800,2.0210002565383913,True,True,False,False,False,False,False,False,False
