symbol,start,end,outcome,weeks,avg_entry,exit_price,return_pct,alloc_filled
MSFT,2000-09-22,2000-10-06,stop,2.0,18.49854456238687,17.00210952758789,-0.0808947444352829,1.0
MSFT,2000-10-27,2000-12-01,stop,5.0,18.757560326719286,17.327226638793945,-0.07625371652879058,1.0
MSFT,2001-02-02,2001-02-09,stop,1.0,19.49989265666127,18.092233657836914,-0.07218803834509788,1.0
MSFT,2001-04-27,2001-07-06,stop,10.0,20.394943286123276,20.21434211730957,-0.008855193480071433,1.0
MSFT,2001-07-20,2001-07-27,stop,1.0,20.73621505230665,20.033802032470703,-0.033873733372465825,1.0
MSFT,2004-10-08,2005-03-18,stop,23.0,17.221459168714286,16.829561233520508,-0.022756372230393108,1.0
MSFT,2005-07-08,2006-04-28,stop,42.0,17.034208550155164,16.928054809570312,-0.00623179763663773,1.0
MSFT,2006-08-04,2008-07-04,stop,100.0,17.162229574072363,18.803504943847656,0.09563299236218299,1.0
MSFT,2008-08-15,2008-09-05,stop,3.0,19.69179498008728,18.63871192932129,-0.05347826604079969,1.0
MSFT,2008-10-03,2008-10-10,stop,1.0,19.725403681626318,15.623095512390137,-0.20797080939121013,1.0
MSFT,2009-10-16,2010-05-28,stop,32.0,19.555480653018954,19.49526596069336,-0.0030791721969921776,1.0
MSFT,2010-06-25,2010-07-02,stop,1.0,19.793095134215353,17.58352279663086,-0.11163349251855582,1.0
MSFT,2013-01-04,,open,,195.0535801991868,,,1.0
