Date,Open,High,Low,Close,Volume,MA200W,rising,from_above,evt_5pct,evt_4pct,evt_3pct,evt_2pct,evt_1pct,evt_touch,setup_start
2022-11-04,13.761467403476034,14.211925646505437,12.94045361155459,14.139013290405273,2704427000,12.963797163963317,True,True,True,True,True,True,True,True,True
2022-11-11,14.210925918682676,16.36933133932197,13.742489233902935,16.307405471801758,2816073000,13.026884198188782,True,True,False,False,False,False,False,False,False
2022-11-18,16.19853677571768,16.977596419194803,15.101854958892112,15.390508651733398,2926241000,13.08438261270523,True,True,False,False,False,False,False,False,False
2022-11-25,15.128823202094654,16.507169659451346,15.06190321660451,16.25047492980957,1472780000,13.145781689882279,True,True,False,False,False,False,False,False,False
2022-12-02,16.00676687994452,17.248688909825876,15.501377797341771,16.86005973815918,2009789000,13.212140258550644,True,True,False,False,False,False,False,False,False
2022-12-09,16.663247742100303,17.56639249733036,15.65220504847958,16.984941482543945,2058131000,13.278696788549423,True,True,False,False,False,False,False,False,False
2022-12-16,17.020911352868033,18.772255889974957,16.39450587865019,16.55535316467285,2567579000,13.341968597173691,True,True,False,False,False,False,False,False,False
2022-12-23,16.556347895867603,16.611298778563597,14.867943401496623,15.191637992858887,1996695000,13.398192496299744,True,True,False,False,False,False,False,False,False
2022-12-30,15.059764142824474,15.085739610722163,13.87088541917304,14.600197792053223,1481381000,13.451778870820998,True,True,True,True,False,False,False,False,True
2023-01-06,14.836973349478153,14.995824302039097,14.020746235509238,14.844966888427734,1626813000,13.507310084104539,True,True,True,True,False,False,False,False,True
2023-01-13,15.26956527336169,16.906018468034198,15.12669972895464,16.883039474487305,2240313000,13.570652765035629,True,True,False,False,False,False,False,False,False
2023-01-20,16.883044257913486,17.856119943115402,16.71519820403246,17.822154998779297,1968625000,13.637736741304398,True,True,False,False,False,False,False,False,False
2023-01-27,18.046938056185414,20.608518165238692,17.801172014631053,20.345766067504883,2632581000,13.717183138132095,True,True,False,False,False,False,False,False,False
2023-02-03,19.9311576524384,21.928266800569993,18.93210531346682,21.0800724029541,2640747000,13.798887623548508,True,True,False,False,False,False,False,False,False
2023-02-10,20.78635237038477,22.99825818396335,20.76637079932243,21.24491310119629,2750611000,13.8815329682827,True,True,False,False,False,False,False,False,False
2023-02-17,21.517655957569065,23.027230025580597,20.94219981648068,21.3678035736084,2448882000,13.965253154039383,True,True,False,False,False,False,False,False,False
2023-02-24,20.98016579111472,23.86543668590284,20.401714095187934,23.264007568359375,2630910000,14.059473170042038,True,True,False,False,False,False,False,False,False
2023-03-03,23.6476427244117,23.877428147206164,22.41081009048638,23.8674373626709,2170791000,14.15609978556633,True,True,False,False,False,False,False,False,False
2023-03-10,23.86843706344506,24.435053778962832,22.7083932455894,22.947208404541016,2442279000,14.249886163473128,True,True,False,False,False,False,False,False,False
2023-03-17,22.73437106627306,26.378546157950858,22.279723706349586,25.705068588256836,2853086000,14.358986970186233,True,True,False,False,False,False,False,False,False
2023-03-24,25.59515337288159,27.567624321193616,25.110528539041603,26.758249282836914,2797259000,14.474765877723694,True,True,False,False,False,False,False,False,False
2023-03-31,26.816209246044448,27.81243294698016,25.82997035686321,27.755477905273438,1909273000,14.596714216470719,True,True,False,False,False,False,False,False,False
2023-04-07,27.487688485526352,27.978309319114103,26.374548778869844,27.016054153442383,1679977000,14.713718106746674,True,True,False,False,False,False,False,False,False
2023-04-14,26.802219526744395,27.768468337867095,26.199683291915306,26.737266540527344,1905191000,14.829434897899628,True,True,False,False,False,False,False,False,False
2023-04-21,26.544417423730405,28.08822261514071,26.412519730546887,27.09798812866211,2057759000,14.946070736646652,True,True,False,False,False,False,False,False,False
2023-04-28,26.992070732318915,27.736494722113637,26.204678535253677,27.727502822875977,1793523000,15.064304920434951,True,True,False,False,False,False,False,False,False
2023-05-05,27.818429302087736,29.03548598905162,27.21889646264562,28.657779693603516,2039790000,15.187687435150146,True,True,False,False,False,False,False,False,False
2023-05-12,28.499899899156308,29.197359027968076,28.024268029130468,28.31804084777832,1625569000,15.308454384803772,True,True,False,False,False,False,False,False,False
2023-05-19,28.485909993610434,31.803337218364412,28.1301868465502,31.239778518676758,2398499000,15.443726916313171,True,True,False,False,False,False,False,False,False
2023-05-26,30.877057472880523,39.44941078052054,29.782904383932877,38.91582107543945,3707980000,15.616555969715119,True,True,False,False,False,False,False,False,False
2023-06-02,40.56354401320244,41.90550182363337,37.792695760283166,39.29652786254883,3044585000,15.793012957572937,True,True,False,False,False,False,False,False,False
2023-06-09,38.87885366395156,39.68433522296949,37.33091714927566,38.74396896362305,2142310000,15.967578046321869,True,True,False,False,False,False,False,False,False
2023-06-16,39.173681765722975,43.69164616054712,38.59207179032555,42.66333770751953,2966705000,16.161071591377258,True,True,False,False,False,False,False,False,False
2023-06-23,42.96913358966378,43.960468171430314,41.98679405380195,42.1806640625,1778633000,16.35179396152496,True,True,False,False,False,False,False,False,False
2023-06-30,42.43248772308976,42.73528567393262,40.07307297637483,42.273597717285156,2520798000,16.542330524921418,True,True,False,False,False,False,False,False,False
2023-07-07,42.48845557277733,43.184993321008285,41.31824574169724,42.47446823120117,1181290000,16.73248608112335,True,True,False,False,False,False,False,False,False
2023-07-14,42.62836091679516,48.05571376740953,41.62103447108327,45.438472747802734,2383708000,16.93705251932144,True,True,False,False,False,False,False,False,False
