symbol,start,end,outcome,weeks,avg_entry,exit_price,return_pct,alloc_filled
AMD,1995-10-27,1995-11-03,stop,1,11.92609671875,11.4375,-0.04096870336309081,1.0
AMD,1996-11-22,1996-11-29,stop,1,12.22436625,12.125,-0.008128539996909797,1.0
AMD,1996-12-13,1997-01-17,profit,5,12.518429464285715,17.5,0.3979389387403899,0.175
AMD,1997-10-03,1997-10-24,stop,3,13.5246034375,13.09375,-0.031857010779729175,1.0
AMD,1998-04-24,1998-05-08,stop,2,13.437407734375,12.96875,-0.03487709412702423,1.0
AMD,2000-10-20,2000-10-27,profit,1,16.579123906249997,20.4375,0.23272496879617824,1.0
AMD,2001-01-19,2001-01-26,profit,1,16.961851339285715,21.375,0.2601808359499587,0.175
AMD,2001-07-20,2001-08-10,stop,3,17.50848870696068,16.209999084472656,-0.07416343261950392,1.0
AMD,2001-12-14,2001-12-21,stop,1,17.727511742351055,15.869999885559082,-0.10478130737064323,1.0
AMD,2002-01-11,2002-01-18,stop,1,17.893874411284923,16.809999465942383,-0.06057240150623753,1.0
AMD,2006-07-28,2006-08-04,profit,1,17.07786448152065,20.469999313354492,0.19862757638722053,1.0
AMD,2007-01-05,2007-01-12,stop,1,19.037988326883912,18.260000228881836,-0.040865037032482274,1.0
AMD,2012-01-27,2012-02-17,profit,3,6.284898748907447,7.420000076293945,0.18060773494303653,0.3
AMD,2012-05-18,2012-05-25,stop,1,6.2952344010308385,6.21999979019165,-0.011951042017890318,1.0
AMD,2022-09-23,2022-09-30,stop,1,71.25038352283477,63.36000061035156,-0.11074162021814865,1.0
AMD,2022-11-18,2022-12-09,stop,3,73.01629288824557,68.58999633789062,-0.06062066937758092,1.0
AMD,2023-02-03,2023-03-17,profit,6,75.59313796146392,97.83999633789062,0.294297326137827,1.0
AMD,2023-05-05,2023-05-12,profit,1,81.41722533340455,95.26000213623047,0.17002270399340658,0.075
AMD,2025-01-10,2025-02-07,stop,4,115.31632010614395,107.55999755859375,-0.06726127351627957,1.0
AMD,2025-05-23,2025-05-30,stop,1,117.43128873096465,110.7300033569336,-0.057065586577898494,1.0
